Item,Item_Type,Item_Tier,Cost,Total_Cost,Stats,Passive_Effect
Mail of Renewal,Defensive,Tier 3,950,2200,+300 Health +20 HP5 +15 Physical Protection +15 Magical Protection,"When you are hit by an enemy god you gain a stack, up to once a second, increasing your protections by 5. Max of 4 stacks, lasts for 5s each. At max stacks, upon being hit you are immediately healed for 10% of your maximum health. Allies within 35 units heal for 10% of their maximum health over 5s. This effect can only occur once every 45 seconds."
Shadowdrinker,"Offensive, Utility",Tier 3,950,2200,+35 Physical Power +10 Physical Penetration +7% Movement Speed,"Killing an enemy god drains their shadow, causing you to enter stealth and gain 30% Movement Speed for 5s. Taking damage, firing an Ability, or firing a Basic Attack breaks the stealth."
Shogun's Kusari,"Offensive, Defensive, Utility",Tier 3,950,2200,+45 Magical Protection +150 Health +20 MP5 +10% Attack Speed,AURA - Allied gods within 70 units have their Attack Speed increased by 30%.
The Executioner,Offensive,Tier 3,950,2200,+30 Physical Power +20% Attack Speed,Basic Attacks against an enemy reduce your target's Physical Protection by 7% for 3 seconds (max. 4 Stacks).
Void Doumaru,"Offensive, Defensive, Utility",Tier 3,950,2200,+60 Magical Protection +150 Health +35 MP5 +20% Crowd Control Reduction,AURA - Enemy gods within 55 units have their Magical Protection reduced by 10%.
Absolution,Defensive,Tier 3,1000,2250,+60 Magical Protection +250 Health +20% Crowd Control Reduction,"When your Ultimate ability has finished casting, you pulse out a cleansing aura within 50 units, providing all allies with CC-immunity for 1.5s and restoring 10% of their max. Mana. This effect can only occur once every 40s."
Berserker's Shield,"Offensive, Defensive",Tier 3,1100,2250,+50 Physical Protection +150 Health +25% Attack Speed +20 HP5,"While below 60% Health you become Berserk for 5s. While Berserk, you gain 5% Damage Mitigation and 20% Attack Speed. This effect can only occur once every 15 seconds."
Breastplate of Regrowth,"Offensive, Defensive, Utility",Tier 3,1200,2250,+45 Physical Protection +300 Mana +15 MP5 +10% Cooldown Reduction,"After healing yourself from an ability, you gain 20% Movement Speed, 15 Physical Power, and 30 Magical Power for 4 seconds. This effect can only occur once every 10 seconds."
Breastplate of Valor,"Defensive, Utility",Tier 3,1200,2250,+50 Physical Protection +300 Mana +15 MP5 +20% Cooldown Reduction,
Contagion,"Defensive, Utility",Tier 3,1200,2250,+50 Physical Protection +100 Health +250 Mana +15 MP5,"AURA - Enemy gods within 55 units have their healing reduced by 25%. This does not stack with similar Auras. When you are hit by a Hard Crowd Control, the enemy receives an aura that deals 25 Magical Damage per second to them and other enemies within a 25 unit radius for 5s. This aura is refreshed if an enemy applies additional Hard Crowd Control to you within 5s."
Emperor's Armor,"Defensive, Utility",Tier 3,850,2250,+50 Physical Protection +250 Health,AURA - Damageable enemy structures within 55 units have their Attack Speed reduced by 30%. Damageable allied structures within 55 units have their Attack Speed increased by 30%.
Frostbound Hammer,"Offensive, Defensive, Utility",Tier 3,900,2250,+35 Physical Power +200 Health +25 HP5 +15 MP5,"Your next basic attack on an enemy god creates a 30 unit shockwave of frost around them, slowing the Movement Speed and Attack Speed of enemy gods in the area by 25% for 3s. This effect can only occur once every 3 seconds. This item and all upgrades are only available to Assassins and Warriors."
Soul Eater,"Offensive, Utility",Tier 3,1200,2250,+30 Physical Power +9% Physical Lifesteal +10 Physical Penetration +10% Cooldown Reduction,"Your abilities heal you for 4% of damage dealt. Each time anything dies within 80 units you gain a stack. Gods, Large Jungle monsters and Bosses provide 5 stacks. At 100 Stacks Soul Eater Evolves, gaining 20 Physical Power, 6% Physical Lifesteal, and 11% Physical Ability Lifesteal."
Telkhines Ring,Offensive,Tier 3,950,2250,+45 Magical Power +15% Attack Speed +9% Magical Lifesteal,Your Basic Attacks deal bonus damage of 5 (+3 Per Level). This effect does not hit structures.
Archdruid's Fury,"Defensive, Utility",Tier 3,900,2300,+35 Physical Protection +35 Magical Protection +250 Health +15 MP5,Gain a stack (up to a max of 6) each time you take damage from enemy gods equal to 5% of your maximum Health. Your next basic attack on an enemy god consumes all stacks and deals 30 (+ 2 Per Level) Magical Damage per stack. This effect can only occur once every 10 seconds.
Atalanta's Bow,Offensive,Tier 3,1100,2300,+35 Physical Power +25% Attack Speed +10 Physical Penetration,"Upon getting a kill or assist on an Enemy god you gain Atalanta's Agility for 10s. This effect increases your Attack Speed by 20% and decreases the Movement Penalty for attacking, backpedaling, and strafing by 30%."
Demonic Grip,Offensive,Tier 3,1000,2300,+75 Magical Power +30% Attack Speed,Your Basic Attacks reduce your target's Magical Protection by 10% for 3s (max 3 Stacks).
Fae-Blessed Hoops,"Defensive, Utility",Tier 3,1100,2300,+40 Magical Protection +250 Health +40 MP5 +10% Cooldown Reduction,"Each time an allied god dies within 70 units of you or you heal an allied god with an ability, a flower drops from your ally that can be picked up by you or an allied god. After healing with an ability, you cannot drop more flowers this way for 10s. Picking up the flower gives that god a shield equal to 5% of their Max HP that lasts for 8s. Flowers last 7s on ground. Picking up a new flower refreshes shield."
Gladiator's Shield,"Defensive, Utility",Tier 3,1150,2300,+40 Physical Protection +200 Health +25 HP5 +10% Cooldown Reduction,When damaging an enemy god with an ability you deal an additional 15 + 25% of your Protections from items and abilities as Physical Damage. Can only trigger once per enemy per ability. Subsequent hits on the same target do half the bonus damage for the next 3s.
Hydra's Lament,"Offensive, Utility",Tier 3,1100,2300,+30 Physical Power +10% Physical Penetration +10% Cooldown Reduction +200 Mana,"For 8s after using an ability, your next Basic Attack will deal an additional 30% damage. Abilities that function like basic attacks do not benefit from this. This item grants 2.5 MP5 per 10% of your missing Mana."
Manticore's Spikes,"Defensive, Utility",Tier 3,1100,2300,+30 Physical Protection +30 Magical Protection +300 Health +20 MP5,"When you hit an enemy god with Hard Crowd Control, they drop Spikes on the ground that lasts for 7s. When you or an allied god pick up a Spike, they gain a buff that causes their next ability to deal bonus Magic damage equal to 3% of their own Max HP. This effect lasts 15s and is doubled if you are the one who picks up the Spike."
Midgardian Mail,Defensive,Tier 3,900,2300,+250 Health +40 Physical Protection,Enemies that successfully land a basic attack on you have their Movement Speed and Attack Speed reduced by 8% for 3 seconds. This effect can stack up to 4 times and can stack with other item slow effects.
Pestilence,"Defensive, Utility",Tier 3,1050,2300,+70 Magical Protection +200 Health +15 HP5,AURA - Enemy gods within 55 units have their healing reduced by 25%. This does not stack with similar Auras. Enemies that successfully damage you have their Healing reduced by an additional 5% for 3s. This can stack up to 6 times.
Polynomicon,"Offensive, Utility",Tier 3,950,2300,+65 Magical Power +300 Mana +12% Magical Lifesteal,Using an ability gives your next Basic Attack within the next 8 seconds +75% of your Magical Power as additional Magical Damage. The effect can only apply once every 2 seconds.
Spectral Armor,"Offensive, Defensive, Utility",Tier 3,1250,2300,+50 Physical Protection +150 Health +300 Mana +10 MP5,"AURA - Allied gods within 55 units take 40% reduced bonus damage from Physical Critical Strikes. When you get hit by a Critical Strike, you gain 10 Physical Power and 15 Magical Power, stacking up to 3 times and lasting 6s."
Stone of Binding,"Offensive, Defensive",Tier 3,900,2300,+35 Magical Protection +35 Physical Protection +200 Health,"Successfully hitting an enemy god with a Crowd Control ability will place a debuff on them, reducing their Physical and Magical Protections by 0.8 * your level for 5s."
Toxic Blade,"Offensive, Defensive, Utility",Tier 3,1050,2300,+100 Health +15% Attack Speed +15 Penetration +7% Movement Speed,"Enemy Gods hit by your basic attacks have 20% reduced Healing and 7% reduced Attack Speed while you gain 7% increased Attack Speed, stacking up to 3 times and lasting 5s."
Abyssal Stone,Defensive,Tier 3,950,2350,+35 Physical Protection +40 Magical Protection +250 Health,Successful ability damage to an enemy god applies a debuff that afflicts them with 20% Negative CDR for 5s. This can only occur once every 5s.
Bladed Boomerang,"Offensive, Utility",Tier 3,1000,2350,+30 Physical Power +20% Attack Speed +20% Critical Strike Chance,"Your next basic attack on an enemy god creates a deployable that, when picked up, provides you with 2% Movement Speed and 10% Critical Strike Chance for 6s. This effect stacks up to 3 times and can only occur once every 2 seconds."
Gauntlet of Thebes,Defensive,Tier 3,1100,2350,+200 Health +15 HP5,"Assists on a minion give 1 Stack and God kills and assists give 5 Stacks. Stacks provide 1 Physical and Magical Protection. At 45 Stacks this item evolves, providing an Aura of 10 Physical Protection and 10 Magical Protection."
Prophetic Cloak,Defensive,Tier 3,1200,2350,+25 Physical Protection +25 Magical Protection +100 Health +10% Cooldown Reduction,"Once every 8s, when you damage an enemy god with an attack, you gain a stack of 1 Protections in an Aura that corresponds with the damage type of the target. Once you have reached 15 stacks of both Protections, this item Evolves, giving you additional Protections and mitigation based on your total Protections."
Pythagorem's Piece,"Offensive, Defensive, Utility",Tier 3,1200,2350,+40 Magical Power +200 Health +9% Magical Lifesteal,AURA - Allied gods within 70 units have their Magical Lifesteal increased by 9% and their Magical Power increased by 15 or their Physical Lifesteal increased by 9% and their Physical Power increased by 15.
Runeforged Hammer,"Offensive, Defensive, Utility",Tier 3,1000,2350,+40 Physical Power +150 Health +15 HP5 +20 MP5,Your next successful Hard CC on an enemy god creates a runic symbol on the ground that lasts for 5s. Enemies in the symbol take 15% more damage. This can only occur once every 15 seconds.
Soul Gem,"Offensive, Defensive, Utility",Tier 3,1200,2350,+80 Magical Power +100 Health +12% Magical Lifesteal +10% Cooldown Reduction,"On successful hit of an Ability you gain 1 stack. At 3 Stacks your next Ability that damages an enemy God will deal bonus damage equal to 20% of your Magical power to each God hit, and will heal yourself and allies within 20 units for 15 (+5 Per Level) and will consume the 3 stacks."
Spear of Desolation,"Offensive, Utility",Tier 3,950,2350,+80 Magical Power +15 Magical Penetration +10% Cooldown Reduction,If you receive a kill or assist on an Enemy God all of your non-ultimate cooldowns are reduced by 2 seconds and your ultimate cooldown is reduced by 6 seconds.
Asi,Offensive,Tier 3,1150,2400,+45 Physical Power +18% Physical Lifesteal +20% Attack Speed,"While below 60% Health, you gain an additional 22.5% Physical Lifesteal for 5 seconds. Can only occur once every 15 seconds."
Brawler's Beat Stick,Offensive,Tier 3,950,2400,+45 Physical Power +15 Physical Penetration,"Enemies hit by your Abilities have 40% reduced healing for 5 seconds. Getting a kill or assist on an enemy god creates a field that lasts 10s, providing allies within it 20 Power + 2 Per level. This effect can only occur once every 10 seconds."
Caduceus Club,"Offensive, Defensive, Utility",Tier 3,1100,2400,+20 Physical Power +200 Health +20 MP5 +10% Cooldown Reduction,Healing Dealt is increased by 30%. AURA - Allied gods within 70 units have 10% increased Crowd Control Reduction and 3% Movement Speed.
Charon's Coin,"Offensive, Defensive, Utility",Tier 3,1000,2400,+75 Magical Power +20% Magical Penetration +7 HP5 +20 MP5,"On god kill or assist a coin is flipped. If heads, you gain a stack of 7 HP5. If tails, you gain a stack of 2% Movement Speed. Each effect can stack up to 4 times and at 8 stacks this item evolves. You also gain 1 gold every time the coin is flipped."
Dawnbringer,"Offensive, Defensive, Utility",Tier 3,1050,2400,+40 Physical Power +150 Health +15 HP5 +20% Crowd Control Reduction,"When your Ultimate has finished casting, your Protections and Movement Speed are increased by 10% for each enemy god within 55 units of you, stacking 3 times for the next 6s. This effect can only occur once every 30s."
Demon Blade,Offensive,Tier 3,1050,2400,+30 Physical Power +15% Attack Speed +20% Critical Strike Chance,Your Critical Hits provide you with 10% Physical Penetration for 4s.
Devourer's Gauntlet,Offensive,Tier 3,1000,2400,+30 Physical Power +15% Physical Lifesteal,"You permanently gain 0.4 Physical Power, 0.2 Physical Penetration, and 0.15% Physical Lifesteal per Stack, and receive 1 Stack per 600 Damage Dealt to minions or 300 Damage Dealt to gods. At 50 stacks this item Evolves, gaining 5 Physical Penetration."
Last Gasp,"Offensive, Defensive, Utility",Tier 3,1050,2400,+70 Magical Power +150 Health +200 Mana +15 Magical Penetration,After healing an allied god with an ability you gain 10 Magical Power per 10% of their missing Health for 8s. This effect can only occur once every 8s.
Mystical Mail,"Defensive, Utility",Tier 3,1000,2400,+200 Health +40 Physical Protection +20% Crowd Control Reduction,AURA - ALL enemies within 25 units are dealt 20 (+1.5 Per Level) Magical Damage per second.
Pridwen,"Defensive, Utility",Tier 3,800,2400,+25 Physical Protection +25 Magical Protection +20% Cooldown Reduction,"When your Ultimate ability has finished casting, you gain a Shield equal to 90% of your Protections from items and abilities for 5s. When destroyed, by timing out or being depleted, it explodes in a 30 unit radius and deals Magical damage equal to 75% of your Protections from items and abilities and slows targets by 25% for 3s. This can only occur once every 45 seconds."
Sekhmet's Scepter,"Offensive, Defensive, Utility",Tier 3,1100,2400,+35 Physical Power +150 Health +15 MP5 +10% Cooldown Reduction,"After healing yourself or an allied god with an ability, for the next 5s each time you damage an enemy god your non-ultimate abilities' cooldowns are reduced by 1s. This reduction can only occur once per second and the effect may only occur once every 12s"
Spirit Robe,"Defensive, Utility",Tier 3,900,2400,+35 Physical Protection +35 Magical Protection +10% Cooldown Reduction +20% Crowd Control Reduction,You gain an additional 15% Damage Mitigation for 3s whenever you are hit with a hard Crowd Control Effect or Root. This can only occur once every 15 seconds.
Void Shield,"Offensive, Defensive, Utility",Tier 3,1250,2400,+55 Physical Protection +150 Health +25 HP5,AURA - Enemy gods within 55 units have their Physical Protection reduced by 10%.
Divine Ruin,Offensive,Tier 3,1050,2450,+75 Magical Power +15 Magical Penetration,"Enemies hit by your abilities have 40% reduced healing for 5 seconds. Your next successful damaging ability on an enemy triggers a chain lightning, damaging the target and up to 4 nearby enemies for 40 damage + 10% of your Magical Power. This can only occur once every 20 seconds."
Hastened Katana,"Offensive, Utility",Tier 3,1200,2450,+20 Physical Power +15% Attack Speed +7% Movement Speed,"Hitting an enemy with a Basic Attack grants Haste for 1s, causing you to be immune from Basic Attack Movement Penalty."
Rejuvenating Heart,"Offensive, Defensive, Utility",Tier 3,1100,2450,+55 Magical Power +200 Health +300 Mana +15% Lifesteal,Lifestealing off of enemy gods heals yourself and nearby allies within 40 units of you by 75% of that healing.
Spear of the Magus,Offensive,Tier 3,950,2450,+85 Magical Power +12% Magical Lifesteal +10% Magical Penetration,Whenever you damage an enemy god with an ability you mark them to take 5% increased damage from all sources. This effect lasts for 8s and can only occur once every 15s.
Sphinx's Baubles,"Offensive, Utility",Tier 3,1500,2900,+40 Physical Power +60 Magical Power +20 MP5 +10% Cooldown Reduction,Your Cooldown Reduction cap is increased from 40% to 50%.
Vital Amplifier,"Offensive, Defensive, Utility",Tier 3,1150,2450,+30 Physical Power +150 Health +15 MP5 +20% Attack Speed,"After healing yourself or an allied god with an ability you gain 10% Attack Speed and 5% Basic Attack Damage for 6s, stacking 3 times."
Bancroft's Talon,"Offensive, Utility",Tier 3,1100,2500,+80 Magical Power +200 Mana +15% Magical Lifesteal,You gain additional Magical Power and Lifesteal scaled from missing Health. This caps at 70 power and 15% Lifesteal at 40% Health.
Book of Thoth,"Offensive, Utility",Tier 3,1150,2500,+60 Magical Power +200 Mana +20 MP5,"You permanently gain 6 Mana per Stack, and receive 1 Stack per 450 Damage Dealt to minions or 225 Damage Dealt to gods. You gain Magical Power equal to 4% of your Mana from items. At 100 stacks this item Evolves, gaining 10 Magical Penetration and increasing the Magical Power gained from Mana to 7%."
Dominance,"Offensive, Utility",Tier 3,1300,2500,+40 Physical Power +200 Mana +20 MP5 +15% Attack Speed,Your Basic Attacks benefit from an additional 20% Physical Penetration.
Gem of Isolation,"Offensive, Defensive",Tier 3,1150,2500,+65 Magical Power +200 Health +10% Crowd Control Reduction,Enemies hit by your damaging abilities will move 30% Slower and will have Shields applied on them reduced by 50% for 2.5 seconds. This can only occur once every 2.5 seconds.
Obsidian Shard,Offensive,Tier 3,1000,2500,+65 Magical Power +20% Magical Penetration,Your first ability cast gains 20% Magical Penetration. This can only occur once every 10 seconds.
Rage,Offensive,Tier 3,1150,2500,+30 Physical Power +35% Critical Strike Chance,Killing or getting an assist on an enemy god gives you 1 stack. Each stack provides 2% Critical Strike Chance and 3 Physical Power. Stacks are permanent and stack up to 5 times.
Serrated Edge,"Offensive, Utility",Tier 3,1250,2500,+25 Physical Power +15% Physical Lifesteal +20% Physical Penetration +7% Movement Speed,For every non-ultimate ability on cooldown you gain a stack of Cruelty. Each stack provides 7 Physical Power and 3% Physical Lifesteal.
The Crusher,Offensive,Tier 3,1000,2500,+35 Physical Power +20% Attack Speed +10% Physical Penetration,Enemies hit by your damaging Abilities take bonus damage equal to an additional 30% of your Physical Power over 1s. Subsequent hits on the same target do half the bonus damage for the next 3s.
Titan's Bane,Offensive,Tier 3,1000,2500,+40 Physical Power +20% Physical Penetration,Your first ability cast gains 20% Physical Penetration. This can only occur once every 5 seconds.
Transcendence,"Offensive, Utility",Tier 3,1300,2500,+25 Physical Power +300 Mana +10 MP5,"You permanently gain 15 Mana per Stack, and receive 1 Stack per 800 Damage Dealt to minions or 350 Damage Dealt to gods. You gain Physical Power equal to 2% of your Maximum Mana. At 50 stacks this item Evolves, gaining 10 Physical Penetration."
Warlock's Staff,"Offensive, Defensive, Utility",Tier 3,1150,2500,+55 Magical Power +100 Health +200 Mana,"You permanently gain +3 Health and +0.25 Magical Power per Stack, and receive 1 Stack per 550 Damage Dealt to or taken from minions or 275 Damage Dealt to or taken by gods. At 100 stacks this item Evolves, gaining 10% Magical Penetration."
Crimson Claws,Offensive,Tier 3,1500,2550,+50 Physical Power +20% Attack Speed +15% Physical Lifesteal,"Lifestealing from enemies while at full Health grants you the value healed as a Shield, which may not exceed 15% of your Maximum Health."
Silverbranch Bow,Offensive,Tier 3,1350,2550,+25 Physical Power +30% Attack Speed +10% Physical Penetration,"For each 0.02 Attack Speed you go over 2.5 Attack Speed, you gain 3 Physical Power. You can not gain more than 120 Physical Power in this way."
Staff of Myrddin,"Offensive, Utility",Tier 3,950,2550,+75 Magical Power +10% Magical Penetration +10% Cooldown Reduction,When your ultimate ability has finished casting you gain Myrddin's Rage which provides 20% Increased Damage Dealt decaying over 8s. At the end of the 8s you lose Myrddin's Rage. This can only occur once every 45s.
Tablet of Destinies,"Offensive, Defensive, Utility",Tier 3,1200,2550,+65 Magical Power +100 Health +300 Mana,"Your next successful damaging ability on an enemy god grants a stack of Wisdom. For each stack of Wisdom you have, your abilities deal 0.1% of your Max Mana as True Damage to enemy gods. You may only gain one stack and deal damage every 2s, and can only gain stacks once per god per ability hit. Max 50 stacks."
Arondight,"Offensive, Utility",Tier 3,900,2500,+50 Physical Power +10% Cooldown Reduction +7% Movement Speed,"When your Ultimate ability has finished casting, reveal all enemy gods within 120 units for 10s. While moving towards revealed enemies gain 20% Movement Speed. When first striking a revealed target they take an additional 30 + 50% of your Physical Power. This can only occur once every 45 seconds. This item is only available to Assassins and Warriors."
Bloodforge,"Offensive, Utility",Tier 3,1200,2600,+50 Physical Power +15% Physical Lifesteal +7% Movement Speed,Killing an enemy god forges a shield from their blood with Health equal to 200 + 10 per Player Level for 20s. While the Blood Shield is active you gain +10% Movement Speed.
Chronos' Pendant,"Offensive, Utility",Tier 3,1200,2600,+70 Magical Power +20 MP5 +20% Cooldown Reduction,"Every 10s the Pendant activates, subtracting 1s from all of your abilities currently on Cooldown. The initial countdown will not start until you leave the fountain."
Cyclopean Ring,"Offensive, Utility",Tier 3,1300,2600,+60 Magical Power +25% Attack Speed +10% Cooldown Reduction,"Your next basic attack against an enemy god deals bonus Magical Damage equal to 8% of the target's maximum Health. This effect can only occur once every 10s, reduced by 2s for each successful Basic Attack on an enemy god."
Ethereal Staff,"Offensive, Defensive",Tier 3,1250,2600,+70 Magical Power +150 Health +20% Crowd Control Reduction,Whenever you damage an enemy god with an ability you steal 8% maximum mana as well as 6% maximum health from the target. The Stats remain stolen for 45s and targets affected can have multiple Buffs and Debuffs at once. This can only occur once every 15 seconds.
Hastened Ring,"Offensive, Utility",Tier 3,1300,2600,+55 Magical Power +25% Attack Speed +7% Movement Speed,"Hitting an enemy God with a Basic Attack grants Haste for 6s, causing you to be immune from Basic Attack Movement Penalty. (Internal Cooldown 25s)"
Qin's Sais,Offensive,Tier 3,1350,2600,+30 Physical Power +25% Attack Speed,"On Basic Attack hits, deal Physical Damage equal to 1.5% of the target's maximum Health. If the target has over 2250 Health, the bonus damage scales up. This effect reaches a maximum of 6% of the targets Maximum Health at 2750 Health."
Rod of Asclepius,"Offensive, Defensive, Utility",Tier 3,1250,2600,+60 Magical Power +200 Health +250 Mana,Healing Dealt is increased by 30%. AURA - Allied gods within 30 units have 10% increased Cooldown Reduction.
Fail-not,"Offensive, Utility",Tier 3,1050,2650,+30 Physical Power +15% Critical Strike Chance +20% Cooldown Reduction +10% Physical Penetration,"When your Ultimate ability has finished casting, your next ability or basic attack within 8s that damages an enemy god marks them, increasing the chance you and your allies can land a Critical Strike by 20% for 10 seconds. This can only occur once every 45 seconds. This item is only available to Hunters."
Soul Reaver,"Offensive, Utility",Tier 3,1300,2650,+65 Magical Power +300 Mana,"Your abilities deal an additional 1% of the target's maximum Health as Magical Damage. If the target has over 2250 Health, your ability bonus damage scales up. This effect reaches a maximum of 9% Maximum Health damage at 2750 Health. Subsequent hits on the same target do half the bonus damage for the next 3s."
Typhon's Fang,"Offensive, Utility",Tier 3,1250,2650,+55 Magical Power +200 Mana +15% Magical Lifesteal +20% Magical Penetration,Your Healing obtained from Magical Lifesteal is increased by 15%. Your Magical power is increased by 1.5x the amount of Magical Lifesteal you have.
Heartseeker,"Offensive, Utility",Tier 3,1550,2750,+45 Physical Power +200 Mana +20 MP5 +10% Physical Penetration,"Your abilities deal an additional 2% of the targets maximum Health as Physical Damage. If you have over 150 Physical Power, your ability bonus damage scales up. This effect reaches a maximum of 6% Maximum Health damage at 250 Physical Power. Subsequent hits on the same target do 75% of the bonus damage for the next 3s."
Mantle of Discord,"Defensive, Utility",Tier 3,1250,2750,+45 Physical Protection +45 Magical Protection +10% Cooldown Reduction,If you take damage below 30% health you unleash a shockwave that stuns all enemies within a range of 20 units for 1s and become immune to Crowd Control for 1s. This effect cannot trigger more than once every 110s.
Doom Orb,"Offensive, Utility",Tier 3,1250,2850,+95 Magical Power +25 MP5 +10 Magical Penetration +6% Movement Speed,"Killing or assisting an enemy minion provides you with 1 stack, granting 1% Movement Speed and 4 Magical Power per stack. Stacks last for 15s and stack up to 5 times. Enemy gods provide 5 stacks."
Rod of Tahuti,"Offensive, Utility",Tier 3,1450,2850,+115 Magical Power +30 MP5 +10% Magical Penetration,Basic Attacks and Abilities gain 15% additional Magical Power against targets below 60% Health.
Deathbringer,Offensive,Tier 3,1550,2900,+30 Physical Power +30% Critical Strike Chance,Critical Strike bonus damage dealt is increased by 25%.
Bewitched Dagger,"Defensive, Utility",Glyph,600,2450,+300 Health +10% Cooldown Reduction +10% Crowd Control Reduction +7% Movement Speed,Your relics receive 50s Cooldown Reduction. GLYPH - All enemy gods have 25% reduced Attack Speed in a 55 unit radius around you.
Eldritch Dagger,"Defensive, Utility",Glyph,600,2450,+300 Health +10% Cooldown Reduction +10% Crowd Control Reduction +7% Movement Speed,"Your relics receive 50s Cooldown Reduction. GLYPH - When you activate a relic, your Protections are increased by 15% and you gain the ability to see wards for 20s."
Amulet of Silence,"Defensive, Utility",Glyph,600,2700,+45 Magical Protection +200 Health,"AURA - Allied gods within 70 units have their Magical Protections increased by 15 and their MP5 increased by 30. GLYPH - Gain a stack each time an enemy within 40 units casts an ability. At 3 stacks, your next basic attack against an enemy god will silence them for 1.5s. This effect can only occur every 12s."
Amulet of the Stronghold,"Defensive, Utility",Glyph,600,2700,+45 Magical Protection +200 Health,AURA - Allied gods within 70 units have their Magical Protections increased by 15 and their MP5 increased by 30. GLYPH - You gain Magical Protections equal to 15% of your Physical Protections.
Magi's Revenge,"Defensive, Utility",Glyph,600,2750,+25 Physical Protection +25 Magical Protection +10% Cooldown Reduction,"Protects you from a single hard Crowd Control effect once every 70 seconds. When this occurs, you gain 1s of Crowd Control immunity. GLYPH - If an enemy God consumes your passive, they become Marked for Revenge for 5s, causing them to receive 10% more damage and granting allied Gods within 40 units 20% increased Movement Speed towards them."
Magi's Shelter,"Defensive, Utility",Glyph,600,2750,+25 Physical Protection +25 Magical Protection +10% Cooldown Reduction,"Protects you from a single hard Crowd Control effect once every 70 seconds. When this occurs, you gain 1s of Crowd Control immunity. GLYPH - Whenever your passive is consumed, the nearest allied god within 40 units gains protection from a single hard Crowd Control effect for 8s. If this passive is consumed before time runs out, they gain 1s of Crowd Control immunity."
Envenomed Executioner,Offensive,Glyph,600,2800,+30 Physical Power +20% Attack Speed,Basic Attacks against an enemy reduce your target's Physical Protection by 7% for 3s (max. 4 Stacks). GLYPH - Successfully hitting an Enemy God will afflict them with poison for 3s. (max. 4 stacks). This poison reduces their healing by 10% and Shields applied on them are reduced by 12.5%.
Jotunn's Cunning,"Offensive, Utility",Glyph,600,2800,+35 Physical Power +150 Mana +10 Physical Penetration +20% Cooldown Reduction,"GLYPH - Every time you damage an enemy god with an ability you gain a stack of Wit. When you have a stack, your next non-ultimate ability that damages an enemy god gets 20% of its cooldown instantly refunded. After triggering this effect, all stacks are removed and you cannot gain stacks for 5s."
Jotunn's Vigor,"Offensive, Utility",Glyph,600,2800,+35 Physical Power +150 Mana +10 Physical Penetration +20% Cooldown Reduction,"GLYPH - If you drop beneath 60% health, gain 15% Movement Speed and 30% Physical Ability Lifesteal for 8s. This effect may only occur once every 15s."
The Ferocious Executioner,Offensive,Glyph,600,2800,+30 Physical Power +20% Attack Speed,"Basic Attacks against an enemy reduce your target's Physical Protection by 7% for 3 seconds (max. 4 Stacks). GLYPH - Your next basic attack marks an enemy god for 8s. If you hit the marked enemy or the marked enemy hits you with a basic attack or ability, gain 1 stack. Each stack provides 2% increased damage towards the marked enemy, stacking up to 10 times. This effect can only occur every 30s."
Breastplate of Determination,"Defensive, Utility",Glyph,600,2850,+50 Physical Protection +300 Mana +15 MP5 +20% Cooldown Reduction,"GLYPH - Each time you are hit by an ability, gain a stack of 5 Protections that corresponds to the damage type you were hit with, up to a max of 4 of each type. Once you reach max stacks of both kinds, gain a burst of 20% Movement Speed and double your Protections gained by this effect for 8s, after which all stacks are removed."
Breastplate of Vigilance,"Defensive, Utility",Glyph,600,2850,+50 Physical Protection +300 Mana +15 MP5 +20% Cooldown Reduction,GLYPH - When your ultimate ability has finished casting you provide an aura in a 60 unit range around you reducing basic attack damage from enemies by 25% for 5s. This effect may only occur once every 45s.
Flameforged Hammer,"Offensive, Defensive, Utility",Glyph,600,2950,+40 Physical Power +150 Health +15 HP5 +20 MP5,"Your next successful Hard CC on an enemy god creates a runic symbol on the ground that lasts for 5s. Enemies in the symbol take 15% more damage. This can only occur once every 15 seconds. GLYPH - Additionally, enemy gods within the rune are burned, dealing 10 + 8% of your Protections from items and abilities as Magical Damage every 1s while inside the rune and for 2s after leaving it."
Runebreaking Hammer,"Offensive, Defensive, Utility",Glyph,600,2950,+40 Physical Power +150 Health +15 HP5 +20 MP5,GLYPH - Your next successful Hard CC on an enemy god creates a 30 unit shockwave around them. Enemies hit by the shockwave deal 15% less damage and take 15% more damage for 3s. This can only occur once every 15s.
Glorious Pridwen,"Defensive, Utility",Glyph,600,3000,+25 Physical Protection +25 Magical Protection +20% Cooldown Reduction,"GLYPH - When your Ultimate ability has finished casting, you create an explosion, dealing 65% of your Protections from items and abilities as Magical Damage and slowing targets by 25% for 3s in a 30 unit radius. Then you gain a Shield equal to 90% of your Protections from items and abilities for 5s. When destroyed, by timing out or being depleted, you explode again. This can only occur once every 45 seconds."
Reverent Pridwen,"Defensive, Utility",Glyph,600,3000,+25 Physical Protection +25 Magical Protection +20% Cooldown Reduction,"GLYPH - When your Ultimate ability has finished casting, you gain a Shield equal to 200% of your Protections from items and abilities for 5s. When destroyed, by timing out or being depleted, it explodes in a 30 unit radius and deals Magical damage equal to 75% of your Protections from items and abilities and slows targets by 25% for 3s. This can only occur once every 45 seconds."
